make_model,body_type,Body Color,km,Gearing Type,hp,Extras,price
Audi A1,Sedans,Blue,10013,Automatic,85,Sport,18900
Audi A1,Sedans,Grey,10450,Automatic,85,Sport,18900
Audi A1,Sedans,Silver,14878,Automatic,85,Others,18900
Audi A1,Sedans,Grey,10273,Automatic,85,Sport,18900
Audi A1,Compact,White,47500,Automatic,85,Sport,18900
Audi A1,Sedans,Blue,9466,Automatic,85,Sport,18900
Audi A1,Sedans,Silver,18971,Automatic,85,Others,18900
Audi A1,Compact,White,31877,Automatic,85,Others,18900
Audi A1,Sedans,White,9878,Automatic,85,Sport,18900
Audi A1,Compact,Black,17535,Automatic,85,Converter,18900
Audi A1,Compact,Brown,76264,Automatic,85,Others,18850
Audi A1,Compact,Silver,6695,Automatic,85,Converter,18850
Audi A1,Sedans,Brown,21275,Automatic,85,Converter,18850
Audi A1,Sedans,Blue,12261,Automatic,85,Others,18850
Audi A1,Sedans,Silver,3620,Automatic,85,Sport,18840
Audi A1,Sedans,Black,8330,Automatic,85,Sport,18800
Audi A1,Compact,White,20306,Automatic,85,Others,18750
Audi A1,Sedans,Grey,27000,Automatic,85,Others,18700
Audi A1,Sedans,Black,31750,Automatic,85,Sport,18690
Audi A1,Sedans,Red,19800,Automatic,85,Sport,18600
Audi A1,Sedans,White,52000,Automatic,85,Sport,18500
Audi A1,Sedans,Grey,15500,Automatic,85,Converter,18500
Audi A1,Sedans,Blue,65000,Automatic,85,Others,18500
Audi A1,Sedans,White,14493,Automatic,85,Others,18500
Audi A1,Sedans,Red,33500,Automatic,85,Others,18500
Audi A1,Compact,Black,4800,Automatic,85,Sport,18333
Audi A1,Compact,Grey,51000,Automatic,85,Others,18350
Audi A1,Sedans,Black,7307,Automatic,85,Sport,18349
Audi A1,Compact,Black,4800,Automatic,85,Sport,18333
Audi A1,Compact,Black,5500,Automatic,85,Sport,18333
Audi A1,Sedans,Silver,35500,Automatic,85,Converter,18300
Audi A1,Sedans,Blue,40000,Automatic,85,Sport,18290
Audi A1,Sedans,Silver,14551,Automatic,85,Others,18250
Audi A1,Compact,Black,26700,Automatic,85,Sport,18185
Audi A1,Sedans,Beige,8000,Automatic,85,Sport,18150
Audi A1,Compact,Grey,15000,Automatic,85,Converter,18000
Audi A1,Compact,Silver,14436,Automatic,85,Converter,17998
Audi A1,Compact,Grey,72624,Automatic,85,Sport,17998
Audi A1,Sedans,White,13960,Automatic,85,Sport,17990
Audi A1,Sedans,Red,40301,Automatic,85,Converter,17990
Audi A1,Compact,Blue,3087,Automatic,85,Others,17990
Audi A1,Compact,Black,37626,Automatic,85,Sport,17989
Audi A1,Sedans,Black,22980,Automatic,85,Converter,17980
Audi A1,Compact,Grey,57926,Automatic,85,Others,17980
Audi A1,Compact,Silver,6257,Automatic,85,Sport,17970
Audi A1,Sedans,Silver,29800,Automatic,85,Others,17950
Audi A1,Compact,Black,35816,Automatic,85,Others,17950
Audi A1,Sedans,Grey,12960,Automatic,85,Converter,17950
Audi A1,Compact,Black,8600,Automatic,85,Sport,17950
Audi A1,Sedans,Blue,14300,Automatic,85,Sport,17950
Audi A1,Sedans,White,9463,Automatic,85,Others,17944
Audi A1,Compact,Red,70000,Automatic,85,Sport,17950
Audi A1,Sedans,Black,51900,Automatic,85,Sport,17500
Audi A1,Sedans,Blue,15000,Automatic,85,Others,17500
Audi A1,Sedans,Red,33000,Automatic,85,Sport,17500
Audi A1,Sedans,Silver,42000,Automatic,85,Sport,17500
Audi A1,Sedans,Blue,25976,Automatic,85,Others,17930
Audi A1,Sedans,Black,26299,Automatic,85,Others,17500
Audi A1,Sedans,Black,36530,Automatic,85,Sport,17490
Audi A1,Sedans,Grey,29159,Automatic,85,Sport,17490
Audi A1,Sedans,Black,55000,Automatic,85,Sport,17490
Audi A1,Sedans,Grey,40133,Automatic,85,Sport,17449
Audi A1,Compact,White,38562,Automatic,85,Converter,17445
Audi A1,Compact,Black,7300,Automatic,85,Sport,17444
Audi A1,Station wagon,Blue,10457,Automatic,85,Sport,17440
Audi A1,Compact,Black,38344,Automatic,85,Converter,17450
Audi A1,Sedans,Red,45276,Automatic,85,Sport,17445
Audi A1,Compact,White,16607,Automatic,85,Others,17370
Audi A1,Compact,Black,26462,Automatic,85,Converter,17350
Audi A1,Compact,White,62000,Automatic,85,Sport,17900
Audi A1,Compact,Black,40257,Automatic,85,Sport,17930
Audi A1,Compact,Black,36709,Automatic,85,Sport,17920
Audi A1,Sedans,Grey,25330,Automatic,85,Others,17900
Audi A1,Compact,Grey,10170,Automatic,85,Converter,17900
Audi A1,Sedans,Silver,12260,Automatic,85,Others,17900
Audi A1,Sedans,Blue,13000,Automatic,85,Sport,17900
Audi A1,Sedans,Grey,63136,Automatic,85,Converter,17900
Audi A1,Sedans,Blue,23357,Automatic,85,Others,17900
Audi A1,Compact,White,40000,Automatic,85,Sport,17900
Audi A1,Sedans,Grey,63136,Automatic,85,Converter,17900
Audi A1,Sedans,Silver,27950,Automatic,85,Sport,17890
Audi A1,Sedans,Blue,3150,Automatic,85,Others,16900
Audi A1,Sedans,Blue,32700,Automatic,85,Others,16900
Audi A1,Compact,Red,67790,Automatic,85,Sport,16900
Audi A1,Sedans,Silver,63500,Automatic,85,Sport,17890
Audi A1,Sedans,Blue,37702,Automatic,85,Others,17900
Audi A1,Sedans,Grey,40164,Automatic,85,Sport,17900
Audi A1,Sedans,White,47750,Automatic,85,Sport,16900
Audi A1,Compact,Black,39600,Automatic,85,Others,16890
Audi A1,Sedans,Red,29200,Automatic,85,Others,16890
Audi A1,Sedans,Grey,32103,Automatic,85,Others,16880
Audi A1,Compact,Red,19700,Automatic,85,Sport,16880
Audi A1,Compact,Blue,6680,Automatic,85,Converter,16880
Audi A1,Sedans,Grey,49100,Automatic,85,Sport,16880
Audi A1,Compact,Silver,30348,Automatic,85,Others,16879
Audi A1,Compact,Blue,7680,Automatic,85,Sport,16870
Audi A1,Sedans,Black,36400,Automatic,85,Sport,16850
Audi A1,Compact,White,50200,Automatic,85,Converter,16830
Audi A1,Sedans,Blue,47500,Automatic,85,Others,16876
Audi A1,Compact,Brown,24762,Automatic,85,Converter,16820
Audi A1,Sedans,Blue,36236,Automatic,85,Converter,16800
Audi A1,Sedans,Black,18556,Automatic,85,Others,16780
Audi A1,Compact,White,36625,Automatic,85,Sport,16530
Audi A1,Sedans,Brown,25000,Automatic,85,Others,16500
Audi A1,Sedans,Black,36041,Automatic,85,Others,16500
Audi A1,Sedans,Red,36500,Automatic,85,Sport,16500
Audi A1,Sedans,Brown,25000,Automatic,85,Others,16500
Audi A1,Sedans,Blue,66000,Automatic,85,Others,16500
Audi A1,Sedans,Black,90000,Automatic,85,Sport,16490
Audi A1,Sedans,Red,14000,Automatic,85,Sport,16490
Audi A1,Sedans,Blue,16081,Automatic,85,Converter,16490
Audi A1,Sedans,White,18392,Automatic,85,Sport,16450
Audi A1,Compact,Blue,40800,Automatic,85,Others,16480
Audi A1,Compact,Blue,60490,Automatic,85,Sport,16480
Audi A1,Compact,White,33142,Automatic,85,Sport,16444
Audi A1,Compact,Black,40500,Automatic,85,Others,16430
Audi A1,Sedans,Black,13819,Automatic,85,Others,16443
Audi A1,Sedans,Black,18800,Automatic,85,Sport,17300
Audi A1,Sedans,Black,25000,Automatic,85,Others,17150
Audi A1,Sedans,White,46000,Automatic,85,Others,17000
Audi A1,Compact,Blue,31987,Automatic,85,Sport,16999
Audi A1,Sedans,Black,57178,Automatic,85,Sport,16995
Audi A1,Sedans,Black,36500,Automatic,85,Sport,16990
Audi A1,Compact,Red,59500,Automatic,85,Converter,16980
Audi A1,Sedans,Silver,26861,Automatic,85,Sport,16970
Audi A1,Compact,Black,13200,Automatic,85,Sport,16950
Audi A1,Compact,Red,19177,Automatic,85,Sport,16975
Audi A1,Compact,Black,19044,Automatic,85,Sport,16950
Audi A1,Compact,White,40500,Automatic,85,Converter,16930
Audi A1,Sedans,Red,33000,Automatic,85,Sport,16900
Audi A1,Compact,Silver,21000,Automatic,85,Others,16900
Audi A1,Sedans,Black,58033,Automatic,85,Others,16900
Audi A1,Sedans,Grey,12500,Automatic,85,Others,17890
Audi A1,Sedans,Black,36530,Automatic,85,Sport,17890
Audi A1,Compact,Grey,5991,Automatic,85,Sport,17880
Audi A1,Sedans,White,33306,Automatic,85,Sport,17880
Audi A1,Compact,Black,52896,Automatic,85,Others,17850
Audi A1,Sedans,Red,32000,Automatic,85,Sport,17750
Audi A1,Sedans,Grey,49198,Automatic,85,Sport,17790
Audi A1,Sedans,White,59000,Automatic,85,Sport,17820
Audi A1,Sedans,Beige,10300,Automatic,85,Converter,17770
Audi A1,Sedans,Grey,24550,Automatic,85,Others,17700
Audi A1,Sedans,Black,26000,Automatic,85,Sport,17700
Audi A1,Compact,Grey,24550,Automatic,85,Others,17700
Audi A1,Compact,Silver,7701,Automatic,85,Sport,17660
Audi A1,Sedans,Silver,19500,Automatic,85,Sport,17650
Audi A1,Sedans,Black,45605,Automatic,85,Sport,17650
Audi A1,Sedans,Blue,45200,Automatic,85,Sport,17530
Audi A1,Sedans,Silver,22500,Automatic,85,Sport,17500
Audi A1,Compact,Black,44585,Automatic,85,Converter,15420
Audi A1,Sedans,White,32750,Automatic,85,Others,15250
Audi A1,Sedans,Black,61980,Automatic,85,Others,15250
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,Black,49600,Automatic,85,Sport,15200
Audi A1,Compact,Red,76275,Automatic,85,Sport,15180
Audi A1,Sedans,Brown,46900,Automatic,85,Converter,15380
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,Blue,10000,Automatic,85,Converter,14250
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,Blue,49466,Automatic,85,Others,14450
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Compact,Black,48800,Automatic,85,Sport,14470
Audi A1,Sedans,Blue,94300,Automatic,85,Converter,14350
Audi A1,Compact,Silver,18600,Automatic,85,Others,14210
Audi A1,Sedans,White,67278,Automatic,85,Others,14300
Audi A1,Sedans,Grey,69850,Automatic,85,Others,13892
Audi A1,Compact,White,46000,Automatic,85,Sport,13990
Audi A1,Sedans,Red,10000,Automatic,85,Others,13950
Audi A1,Sedans,Black,108000,Automatic,85,Sport,13900
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,63668,Automatic,85,Sport,15090
Audi A1,Sedans,White,78000,Automatic,85,Others,15000
Audi A1,Compact,Blue,137066,Automatic,85,Sport,14998
Audi A1,Sedans,Grey,34000,Automatic,85,Converter,14990
Audi A1,Compact,Black,9600,Automatic,85,Others,14990
Audi A1,Compact,Red,88800,Automatic,85,Others,13880
Audi A1,Sedans,Grey,59150,Automatic,85,Others,13500
Audi A1,Sedans,Black,110375,Automatic,85,Others,13480
Audi A1,Sedans,Black,26310,Automatic,85,Others,13450
Audi A1,Sedans,White,65000,Automatic,85,Others,13250
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Sedans,White,58380,Automatic,85,Others,13599
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Sedans,White,31100,Automatic,85,Others,15700
Audi A1,Sedans,Red,79244,Automatic,85,Converter,15680
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Sedans,White,58722,Automatic,85,Sport,15750
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Sedans,Black,11725,Automatic,85,Sport,15660
Audi A1,Sedans,Grey,41600,Automatic,85,Others,15750
Audi A1,Sedans,Red,56000,Automatic,85,Others,11000
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,87300,Automatic,85,Converter,14930
Audi A1,Sedans,White,86698,Automatic,85,Sport,14930
Audi A1,Sedans,Black,70000,Automatic,85,Others,14950
Audi A1,Sedans,Black,87300,Automatic,85,Converter,14930
Audi A1,Sedans,Red,115900,Automatic,85,Others,14900
Audi A1,Compact,Black,25000,Automatic,85,Sport,14850
Audi A1,Compact,White,58718,Automatic,85,Converter,14890
Audi A1,Compact,Red,35730,Automatic,85,Sport,14700
Audi A1,Sedans,Black,83450,Automatic,85,Others,14640
Audi A1,Sedans,Brown,75000,Automatic,85,Sport,14799
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Sedans,Black,58525,Automatic,85,Converter,16395
Audi A1,Sedans,Grey,37000,Automatic,85,Sport,16250
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Red,53000,Automatic,85,Sport,16290
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Grey,72761,Automatic,85,Sport,15998
Audi A1,Sedans,White,19000,Automatic,85,Sport,16000
Audi A1,Sedans,Black,19068,Automatic,85,Others,16150
Audi A1,Sedans,Black,11000,Automatic,85,Sport,16000
Audi A1,Compact,Brown,33200,Automatic,85,Sport,15993
Audi A1,Sedans,Red,45000,Automatic,85,Sport,15990
Audi A1,Compact,Black,42900,Automatic,85,Converter,15990
Audi A1,Sedans,Grey,52900,Automatic,85,Sport,15980
Audi A1,Compact,Grey,40500,Automatic,85,Converter,15590
Audi A1,Sedans,Grey,146140,Automatic,85,Sport,15990
Audi A1,Sedans,Black,44300,Automatic,85,Others,15980
Audi A1,Compact,Black,9300,Automatic,85,Others,15990
Audi A1,Compact,White,72192,Automatic,85,Sport,15980
Audi A1,Compact,Black,46123,Automatic,85,Sport,15990
Audi A1,Sedans,White,18150,Automatic,85,Others,15580
Audi A1,Sedans,Black,40528,Automatic,85,Others,15490
Audi A1,Compact,White,104000,Automatic,85,Others,15500
Audi A1,Sedans,Black,63473,Automatic,85,Others,15500
Audi A1,Compact,Grey,29950,Automatic,85,Sport,15490
Audi A1,Compact,White,24030,Automatic,85,Sport,15450
Audi A1,Compact,Black,36590,Automatic,85,Converter,15450
Audi A1,Compact,Black,25600,Automatic,85,Sport,15450
Audi A1,Compact,Blue,13776,Automatic,85,Sport,15444
Audi A1,Compact,Black,34400,Automatic,85,Converter,15960
Audi A1,Sedans,Black,34400,Automatic,85,Converter,15960
Audi A1,Compact,White,66844,Automatic,85,Sport,15930
Audi A1,Sedans,Grey,58000,Automatic,85,Others,15900
Audi A1,Sedans,White,40000,Automatic,85,Others,15900
Audi A1,Sedans,White,41500,Automatic,85,Others,15900
Audi A1,Compact,Black,43255,Automatic,85,Others,15425
Audi A1,Compact,Black,49351,Automatic,85,Sport,14990
Audi A1,Compact,Black,42023,Automatic,85,Others,15889
Audi A1,Sedans,Black,36950,Automatic,85,Sport,15970
Audi A1,Compact,White,106829,Automatic,85,Converter,15889
Audi A1,Sedans,Silver,49880,Automatic,85,Others,15880
Audi A1,Compact,Black,50272,Automatic,85,Sport,15850
Audi A1,Compact,Grey,69900,Automatic,85,Sport,15850
Audi A1,Sedans,Grey,19582,Automatic,85,Others,15800
Audi A1,Sedans,Blue,43954,Automatic,85,Converter,15790
Audi A1,Sedans,Red,32910,Automatic,85,Sport,15840
Audi A1,Sedans,Black,32814,Automatic,85,Converter,15790
Audi A1,Sedans,Black,59702,Automatic,85,Sport,15789
Audi A1,Compact,White,23211,Automatic,85,Others,15780
Audi A1,Compact,Black,97930,Manual,85,Converter,12170
Audi A1,Sedans,White,70000,Manual,85,Others,12490
Audi A1,Compact,Black,54392,Manual,85,Converter,12820
Audi A1,Sedans,White,73000,Manual,85,Others,11950
Audi A1,Sedans,Black,111380,Manual,85,Others,12480
Audi A1,Sedans,White,63350,Manual,85,Others,12480
Audi A1,Sedans,Black,129550,Manual,85,Sport,12480
Audi A1,Sedans,Black,28978,Manual,85,Others,12900
Audi A1,Sedans,Blue,61220,Manual,85,Others,13420
Audi A1,Sedans,White,71000,Manual,85,Sport,13490
Audi A1,Sedans,Black,24999,Manual,85,Sport,13490
Audi A1,Sedans,Black,46400,Manual,85,Sport,13490
Audi A1,Sedans,Black,81600,Manual,85,Others,13680
Audi A1,Sedans,White,65500,Manual,85,Others,13640
Audi A1,Sedans,Black,25950,Manual,85,Others,13650
Audi A1,Compact,White,32779,Manual,85,Others,13490
Audi A1,Compact,Blue,75800,Manual,85,Converter,13660
Audi A1,Compact,Black,23450,Manual,85,Others,13680
Audi A1,Sedans,Black,63952,Manual,85,Sport,13750
Audi A1,Sedans,Grey,34000,Manual,85,Sport,13900
Audi A1,Sedans,Black,47155,Manual,85,Sport,13900
Audi A1,Sedans,Blue,80000,Manual,85,Sport,13900
Audi A1,Compact,Silver,39838,Manual,85,Others,13900
Audi A1,Compact,White,30000,Manual,85,Others,13890
Audi A1,Compact,White,22223,Manual,85,Others,13890
Audi A1,Compact,Black,107592,Manual,85,Sport,13890
Audi A1,Compact,White,125000,Manual,85,Sport,13890
Audi A1,Sedans,Black,20000,Manual,85,Others,13900
Audi A1,Sedans,Brown,38900,Manual,85,Others,13890
Audi A1,Sedans,Blue,18371,Manual,85,Others,13890
Audi A1,Sedans,Blue,18371,Manual,85,Others,13890
Audi A1,Sedans,Blue,18371,Manual,85,Others,13890
Audi A1,Sedans,Silver,84708,Manual,85,Others,13940
Audi A1,Sedans,Silver,115000,Manual,85,Others,13940
Audi A1,Compact,Black,58011,Manual,85,Others,13940
Audi A1,Sedans,Blue,56989,Manual,85,Others,13900
Audi A1,Sedans,Black,65000,Manual,85,Others,13900
Audi A1,Compact,Silver,40200,Manual,85,Others,13900
Audi A1,Sedans,Black,59000,Manual,85,Sport,13900
Audi A1,Sedans,Grey,24978,Manual,85,Others,13900
Audi A1,Sedans,White,10000,Manual,85,Others,13900
Audi A1,Sedans,Blue,100000,Manual,85,Others,13900
Audi A1,Sedans,White,44000,Manual,85,Sport,13900
Audi A1,Sedans,Grey,36040,Manual,85,Sport,13900
Audi A1,Compact,Black,84500,Manual,85,Sport,13900
Audi A1,Compact,Grey,45521,Manual,85,Others,13900
Audi A1,Compact,Grey,61582,Manual,85,Others,13900
Audi A1,Compact,Grey,67992,Manual,85,Others,13900
Audi A1,Sedans,White,49000,Manual,85,Sport,13900
Audi A1,Sedans,Black,69347,Manual,85,Others,13880
Audi A1,Compact,White,80120,Manual,85,Converter,13888
Audi A1,Sedans,Black,88483,Manual,85,Converter,13880
Audi A1,Sedans,White,51400,Manual,85,Others,13880
Audi A1,Sedans,White,63150,Manual,85,Others,13880
Audi A1,Sedans,Black,41961,Manual,85,Converter,13880
Audi A1,Sedans,Black,63608,Manual,85,Sport,13750
Audi A1,Compact,Blue,41515,Manual,85,Others,13750
Audi A1,Compact,Black,91500,Manual,85,Sport,13750
Audi A1,Compact,Black,62400,Manual,85,Others,13720
Audi A1,Sedans,Grey,37000,Manual,85,Sport,13700
Audi A1,Compact,Black,55850,Manual,85,Others,13710
Audi A1,Sedans,Violet,70000,Manual,85,Others,13700
Audi A1,Sedans,Violet,70000,Manual,85,Sport,13700
Audi A1,Sedans,Blue,62500,Manual,85,Others,13700
Audi A1,Compact,White,77000,Manual,85,Sport,13700
Audi A1,Sedans,Black,53000,Manual,85,Converter,13700
Audi A1,Sedans,Grey,39283,Manual,85,Sport,13700
Audi A1,Sedans,Black,56539,Manual,85,Converter,13700
Audi A1,Sedans,Grey,32894,Manual,85,Others,13690
Audi A1,Compact,White,100200,Manual,85,Sport,13685
Audi A1,Sedans,Black,15100,Manual,85,Others,13680
Audi A1,Sedans,Silver,88879,Manual,85,Sport,13000
Audi A1,Sedans,Black,29000,Manual,85,Sport,13000
Audi A1,Sedans,Black,29000,Manual,85,Others,13000
